	gene	tss	chrom
0	ENSMUSG00000000001	108146146	3
1	ENSMUSG00000000028	18811591	16
2	ENSMUSG00000000056	121237253	11
3	ENSMUSG00000000078	5861482	13
4	ENSMUSG00000000085	120405281	4
5	ENSMUSG00000000088	57521274	9
6	ENSMUSG00000000120	95587735	11
7	ENSMUSG00000000127	63863062	17
8	ENSMUSG00000000131	126104808	7
9	ENSMUSG00000000148	140705011	5
10	ENSMUSG00000000168	50644062	9
11	ENSMUSG00000000171	50603812	9
12	ENSMUSG00000000184	127139152	6
13	ENSMUSG00000000194	31152316	2
14	ENSMUSG00000000253	45507444	13
15	ENSMUSG00000000275	88999376	11
16	ENSMUSG00000000276	89060748	11
17	ENSMUSG00000000278	88955465	11
18	ENSMUSG00000000295	31313383	10
19	ENSMUSG00000000296	31445797	10
20	ENSMUSG00000000303	106603351	8
21	ENSMUSG00000000308	121357714	2
22	ENSMUSG00000000325	18348182	16
23	ENSMUSG00000000326	18413494	16
24	ENSMUSG00000000339	116495965	3
25	ENSMUSG00000000340	116513070	3
26	ENSMUSG00000000346	100615349	15
27	ENSMUSG00000000365	56402581	14
28	ENSMUSG00000000378	6546887	11
29	ENSMUSG00000000384	6618030	11
30	ENSMUSG00000000399	126849125	6
31	ENSMUSG00000000409	129555848	4
32	ENSMUSG00000000420	24205344	18
33	ENSMUSG00000000439	115601902	6
34	ENSMUSG00000000441	115620318	6
35	ENSMUSG00000000486	127215125	7
36	ENSMUSG00000000555	103351378	15
37	ENSMUSG00000000561	105959369	3
38	ENSMUSG00000000563	105954181	3
39	ENSMUSG00000000568	99964750	5
40	ENSMUSG00000000579	6601671	17
41	ENSMUSG00000000581	17257579	11
42	ENSMUSG00000000594	55098115	11
43	ENSMUSG00000000600	3803184	5
44	ENSMUSG00000000628	82726309	6
45	ENSMUSG00000000708	53566861	17
46	ENSMUSG00000000711	128696257	10
47	ENSMUSG00000000730	78041947	10
48	ENSMUSG00000000738	123062942	8
49	ENSMUSG00000000740	123102350	8
50	ENSMUSG00000000743	123209769	8
51	ENSMUSG00000000751	75342188	11
52	ENSMUSG00000000759	12637955	8
53	ENSMUSG00000000776	70439925	14
54	ENSMUSG00000000782	52274877	11
55	ENSMUSG00000000804	84988683	11
56	ENSMUSG00000000811	89643988	6
57	ENSMUSG00000000823	181586309	2
58	ENSMUSG00000000826	181520485	2
59	ENSMUSG00000000827	181497142	2
60	ENSMUSG00000000876	154603688	2
61	ENSMUSG00000000884	18498713	16
62	ENSMUSG00000000901	75923993	10
63	ENSMUSG00000000902	75914162	10
64	ENSMUSG00000000916	135369953	5
65	ENSMUSG00000000934	75668734	15
66	ENSMUSG00000000948	59980676	7
67	ENSMUSG00000000957	54431612	14
68	ENSMUSG00000000958	54384167	14
69	ENSMUSG00000000959	54360834	14
70	ENSMUSG00000000976	83753696	11
71	ENSMUSG00000001016	90476126	3
72	ENSMUSG00000001017	90509022	3
73	ENSMUSG00000001018	90490428	3
74	ENSMUSG00000001025	90612882	3
75	ENSMUSG00000001034	61490938	11
76	ENSMUSG00000001036	61544313	11
77	ENSMUSG00000001039	61505144	11
78	ENSMUSG00000001052	129984282	3
79	ENSMUSG00000001053	51650820	11
80	ENSMUSG00000001054	51625834	11
81	ENSMUSG00000001056	51619735	11
82	ENSMUSG00000001082	34634629	5
83	ENSMUSG00000001089	136469761	4
84	ENSMUSG00000001098	114368669	5
85	ENSMUSG00000001100	78512193	11
86	ENSMUSG00000001105	78536361	11
87	ENSMUSG00000001120	76788422	10
88	ENSMUSG00000001138	36511867	1
89	ENSMUSG00000001150	76468927	10
90	ENSMUSG00000001151	76353510	10
91	ENSMUSG00000001157	86716893	6
92	ENSMUSG00000001158	86684491	6
93	ENSMUSG00000001175	100199435	12
94	ENSMUSG00000001228	56303321	17
95	ENSMUSG00000001229	56209208	17
96	ENSMUSG00000001247	30973322	7
97	ENSMUSG00000001270	111671485	12
98	ENSMUSG00000001280	102406143	15
99	ENSMUSG00000001281	102216650	15
100	ENSMUSG00000001285	102331709	15
101	ENSMUSG00000001288	102243589	15
102	ENSMUSG00000001289	102326116	15
103	ENSMUSG00000001300	8639363	8
104	ENSMUSG00000001305	186749325	1
105	ENSMUSG00000001366	78084731	9
106	ENSMUSG00000001376	3498382	6
107	ENSMUSG00000001380	36770227	18
108	ENSMUSG00000001383	36793876	18
109	ENSMUSG00000001403	164769898	2
110	ENSMUSG00000001415	88336260	3
111	ENSMUSG00000001416	88297116	3
112	ENSMUSG00000001418	88325023	3
113	ENSMUSG00000001424	28475139	6
114	ENSMUSG00000001435	77059997	10
115	ENSMUSG00000001436	77032241	10
116	ENSMUSG00000001440	97164222	11
117	ENSMUSG00000001441	97212462	11
118	ENSMUSG00000001445	97041560	11
119	ENSMUSG00000001467	4103381	5
120	ENSMUSG00000001472	123373753	8
121	ENSMUSG00000001473	67390717	18
122	ENSMUSG00000001482	123423527	8
123	ENSMUSG00000001517	128362967	6
124	ENSMUSG00000001518	128410380	6
125	ENSMUSG00000001521	128325547	6
126	ENSMUSG00000001524	35668760	17
127	ENSMUSG00000001525	35837060	17
128	ENSMUSG00000001542	75706757	13
129	ENSMUSG00000001552	100372716	11
130	ENSMUSG00000001555	100415697	11
131	ENSMUSG00000001569	29434664	5
132	ENSMUSG00000001576	26561489	17
133	ENSMUSG00000001604	136247729	4
134	ENSMUSG00000001627	40204642	12
135	ENSMUSG00000001630	146724995	6
136	ENSMUSG00000001632	113307137	6
137	ENSMUSG00000001642	34306687	6
138	ENSMUSG00000001663	75797569	10
139	ENSMUSG00000001666	75773034	10
140	ENSMUSG00000001674	121559215	1
141	ENSMUSG00000001687	148537590	5
142	ENSMUSG00000001700	56400337	18
143	ENSMUSG00000001707	38658955	13
144	ENSMUSG00000001755	101082565	11
145	ENSMUSG00000001767	145931391	2
146	ENSMUSG00000001774	18292125	9
147	ENSMUSG00000001783	85955779	10
148	ENSMUSG00000001785	85829494	10
149	ENSMUSG00000001786	86021972	10
150	ENSMUSG00000001794	30190226	7
151	ENSMUSG00000001827	101864145	7
152	ENSMUSG00000001829	101663633	7
153	ENSMUSG00000001833	25252439	9
154	ENSMUSG00000001844	143326354	5
155	ENSMUSG00000001847	143517608	5
156	ENSMUSG00000001855	31974436	2
157	ENSMUSG00000001864	31950139	2
158	ENSMUSG00000001891	21323502	11
159	ENSMUSG00000001909	84686307	8
160	ENSMUSG00000001910	84676995	8
161	ENSMUSG00000001918	16781340	7
162	ENSMUSG00000001942	37555698	9
163	ENSMUSG00000001983	106066061	11
164	ENSMUSG00000001998	127008717	2
165	ENSMUSG00000001999	127070665	2
166	ENSMUSG00000002017	75540572	17
167	ENSMUSG00000002028	44820115	9
168	ENSMUSG00000002031	44767908	9
169	ENSMUSG00000002052	78223686	11
